no,nama_perusahaan,kelurahan,alamat,jenis_usaha,jml_karyawan,thn_berdiri
427,NA,NA,JL.DUNGUSCARIANG RT.05/05,SEMBAKO,NA,2000
428,NA,NA,JL.DUNGUSCARIANG RT.05/05,SEMBAKO,NA,1995
429,NA,NA,JL.DUNGUSCARIANG RT.03/05,SEMBAKO,NA,1998
430,NA,NA,JL.DUNGUSCARIANG RT.03/05,SEMBAKO,NA,1992
431,NA,NA,JL.DUNGUSCARIANG RT.03/05,SEMBAKO,NA,1990
432,NA,NA,GG.BARNAS RT06/RW.06,ISI ULANG AIR,NA,2000
433,TOKO BESI,NA,GG.BARNAS RT06/RW.06,TOKO BESI,1 ORANG,2010
434,NA,NA,GG.BARNAS RT03/RW.06,SEMBAKO,NA,1996
435,NA,NA,GG.BARNAS RT03/RW.06,TOKO BHN MATERIAL,4 ORANG,1995
436,NA,NA,GG.BARNAS RT02/RW.06,SEPATU,NA,2000
437,NA,NA,GG.BARNAS RT03/RW.06,SEMBAKO,NA,2012
438,NA,NA,GG.BARNAS RT05/RW.06,SEMBAKO,NA,1997
439,NA,NA,GG.BARNAS RT04/RW.06,SEMBAKO,NA,2000
440,NA,NA,JL.DUNGUSCARIANG RT01/RW07,SEMBAKO,NA,1997
441,NA,NA,JL.DUNGUSCARIANG RT01/RW07,OBAT-OBAYAN,NA,2000
442,NA,NA,JL.DUNGUSCARIANG RT03/RW07,SEMBAKO,NA,2011
443,NA,NA,JL.DUNGUSCARIANG RT03/RW07,SEMBAKO,NA,1995
444,NA,NA,JL.DUNGUSCARIANG RT04/RW07,SEMBAKO,NA,2000
445,NA,NA,JL.DUNGUSCARIANG RT01/RW07,SEMBAKO,NA,2012
446,NA,NA,JL.DUNGUSCARIANG RT04/RW07,COUNTER PULSA,NA,1990
447,NA,NA,JL.DUNGUSCARIANG RT05/RW07,KELONTONGAN,NA,2000
448,NA,NA,JL.DUNGUSCARIANG RT05/RW07,KELONTONGAN,NA,2010
449,NA,NA,JL.DUNGUSCARIANG RT05/RW07,KELONTONGAN,NA,1996
450,NA,NA,JL.DUNGUSCARIANG RT05/RW07,KELONTONGAN,NA,1995
451,NA,NA,JL.DUNGUSCARIANG RT06/RW07,TOKO ALAT LISTRIK,NA,1995
452,NA,NA,JL.DUNGUSCARIANG RT06/RW07,KELONTONGAN,NA,2000
453,NA,NA,JL.DUNGUSCARIANG RT06/RW07,GAS ELPIJI,NA,2012
454,NA,NA,JL.DUNGUSCARIANG RT09/RW07,KELONTONGAN,NA,1990
455,NA,NA,JL.DUNGUSCARIANG RT09/RW07,KELONTONGAN,NA,2000
456,NA,NA,JL.DUNGUSCARIANG RT09/RW07,KELONTONGAN,NA,2010
457,NA,NA,JL.DUNGUSCARIANG RT09/RW07,KELONTONGAN,NA,1995
458,NA,NA,JL.ANDIR NO.5 RT.02/08,SEMBAKO,NA,2000
459,NA,NA,JL.ANDIR NO.5 RT.08/08,SEMBAKO,NA,2012
460,NA,NA,JL.ANDIR NO.5 RT.04/08,SEMBAKO,NA,1990
461,NA,NA,JL.ANDIR NO.5 RT.04/08,SEMBAKO,NA,2000
462,NA,NA,JL.ANDIR NO.5 RT.08/08,SEMBAKO,NA,2010
463,NA,NA,JL.ANDIR NO.5 RT.07/08,KELONTONGAN,NA,1998
464,NA,NA,JL.ANDIR NO.5 RT.07/08,KELONTONGAN,NA,1995
465,NA,NA,JL.ANDIR NO.5 RT.06/08,KELONTONGAN,NA,2000
466,NA,NA,JL.ANDIR NO.5 RT.076/08,KELONTONGAN,NA,2012
467,NA,NA,JL.ANDIR NO.5 RT.073/08,KELONTONGAN,NA,2001
468,NA,NA,JL.ANDIR NO.5 RT.03/08,KELONTONGAN,NA,1990
469,NA,NA,JL.ANDIR NO.5 RT.03/08,KELONTONGAN,NA,2000
470,NA,NA,JL.ANDIR NO.5 RT.07/08,KELONTONGAN,NA,2010
471,NA,NA,JL.RAJAWALI TIMUR  RT.02/RW09,SEMBAKO,NA,2010
472,NA,NA,JL.RAJAWALI TIMUR  RT.02/RW09,SEMBAKO,NA,2012
473,NA,NA,JL.RAJAWALI TIMUR  RT.02/RW09,SEMBAKO,NA,1998
474,NA,NA,JL.RAJAWALI TIMUR  RT03/RW09,SEMBAKO,NA,2000
475,NA,NA,JL.RAJAWALI TIMUR RT.03/RW09,SEMBAKO,NA,2013
476,NA,NA,JL.RAJAWALI TIMUR RT.03/RW09,SEMBAKO,NA,1983
477,NA,NA,JL.RAJAWALI TIMUR RT.03/RW09,SNACK,NA,2013
478,NA,NA,JL.RAJAWALI TIMUR  RT.02/RW09,SEMBAKO,NA,2013
479,NA,NA,JL. ANDIR RT02/RW10,SEMBAKO,NA,1992
480,SINAR BAHAGIA,NA,JL. ANDIR RT01/RW10,SEMBAKO,1.0RANG,1990
481,NA,NA,JL. ANDIR RT05/RW10,TOKO BESI & BANGUNAN,NA,1980
482,NA,NA,JL. ANDIR RT02/RW10,SEMBAKO,NA,2000
483,NA,NA,JL. ANDIR RT01/RW10,SEMBAKO,NA,1995
484,NA,NA,JL. ANDIR RT02/RW10,SEMBAKO,NA,1998
485,NA,NA,JL. ANDIR RT01/RW10,SEMBAKO,NA,2000
486,NA,NA,JL. ANDIR RT05/RW10,VOUNCHER,NA,2000
487,LIBERTI,NA,JL  CIROYOM RT 95/11,ALAT TULIS DAN FOTO COPI,NA,2000
488,NA,NA,JL  CIROYOM RT 93/11,SEMBAKO,NA,2001
489,NA,NA,JL  CIROYOM RT 94/11,SEMBAKO,NA,2005
490,NA,NA,JL  CIROYOM RT 95/11,SEMBAKO,NA,1980
491,NA,NA,JL  CIROYOM RT 96/11,SEMBAKO,NA,1991
492,NA,NA,JL  CIROYOM RT 07/11,SEMBAKO,NA,1993
493,NA,NA,JL  CIROYOM RT 08/11,SEMBAKO,NA,1999
494,NA,NA,JL  CIROYOM RT 09/11,SEMBAKO,NA,2000
495,CV. CITRA NUASA,NA,JL. Rajawali Timur No 199  Dunguscariang,Perdagangan Umum dan Jasa,7 Orang,NA
496,CV. SUMBER ABADI INTI,NA,Jl. Jend Sudirman 564  Bandung Dunguscariang,Glosir Rokok,3 Orang,NA
497,CV.UNI GENERING,NA,Jl. Halteu Selatan No. 59B/77  RT. 01/ 03 Dunguscariang,Perdagangan barang dan jasa,2 orang,NA
498,PT. MESAT INDO GLOBAL,NA,JL Jend. Sudirman No 624 Kelurahan Dunguscariang,Perdangan Barang dan Jasa,3 Orang,NA
499,PT. DAM KARYA PRIMA,NA,Jl. Garuda No 39 RT. 07 RW. 03 Dunguscariang,CAFÉ,5 Orang,NA
500,PT.SURGA ENERGI NUUSANTARA,NA,Laksamana Nurtanio No 51 RT.9/2,Perdagangan Umum,8 Orang,NA
501,CV. JAYA SAKATA LAKSANA,NA,Jl. Kacau No 30 Maleber,Jasa Sfertraining Perdagangan Umum,5 Orang,NA
502,MINI MARKET YOMART,GARUDA,JL.NATUNA NO.14 Rt. 13/06,JUAL SEMBAKO &,10 ORANG,2005
503,GARMENT (HOME INDUSTRI ),NA,JL.FLAMINGO RT.05/03,GARMENT,15 ORANG,2005
504,PT.LION SUPERINDO,NA,JL.NATUNA NO.14,SUPERMARKET,30 ORANG,2009
505,CV.MAKMUR JAYA PRIMA,NA,JL.DADALI III NO.26 Rt. 05/02,MINI MARKET & PERDAGANGAN,3 ORANG,2005
506,MINI MARKET INDOMART,NA,JL.GARUDA RT.01/05,SEMBAKO & KELONTONGAN,10 ORANG,1997
507,RAJUTAN KAOS KAKI,NA,JL.TUNDUNGSARI Rt. 01/03,PRODUKSI RAJUTAN KAOS KAKI,10 ORANG,1999
508,TOKO KUE ERLANDA,NA,JL.ELANG RT.03 RW.01,TOKO KUE & PRODUKSI KUE,10 ORANG,1990
509,PT. VAS AERO INDONESIA,NA,Jl. Elang Raya  Ruko Elang No 2A  RW. 01,Penjualan dan Perbaikan Komponen Pesawat Terbang,4 Orang,NA
510,CV. LEMBAH HURIP,CIROYOM,JL. TERI No. 12,PERDAGANGAN UMUM,3  ORANG,NA
511,PD.ABADI,NA,JL. SUDIRMAN No. 502,PERDAGANGAN,2  ORANG,NA
512,CV. ANUGRAH,NA,Gg. SUKARELA,PERDAGANGAN UMUM,3  ORANG,NA
513,CV. NAD,NA,JL. ANDIR,JASA KEBERSIHAN,5  ORANG,NA
514,CV. NAD,NA,JL. ANDIR,PERDAGANGAN,3  ORANG,NA
515,CV. NAD,NA,JL. KAKAP No. 4,PEDAGANG ASIN,3  ORANG,NA
516,CV. NAD,NA,JL. KAKAP No. 6,PEDAGANG ASIN,3  ORANG,NA
517,CV. NAD,NA,JL. KAKAP No. 26,PEDAGANG ASIN,3  ORANG,NA
518,CV. NAD,NA,JL. PEPETEK,PEDAGANG ASIN,3  ORANG,NA
519,FULL JAYA,NA,JL. ANDIR BLOK E No. 4,NA,3  ORANG,NA
520,KIKI FOOD,NA,JL. KBN JUKUT,MAKANAN,5  ORANG,NA
521,CIPTA JAYA,NA,JL. KAKAP No. 30,PEDAGANG ASIN,3  ORANG,NA
522,CV. NADYA CAKRA,NA,JL. ANDIR No. 112,KONVEKSI,15  ORANG,NA
523,CV. NADYA CAKRA,NA,JL. PASAR CIROYOM,PERDAGANGAN,2  ORANG,NA
524,CV. NADYA CAKRA,NA,JL. KELENteng No. 1,RUMAH MAKAN,6  ORANG,NA
525,CV. NADYA CAKRA,NA,JL. RAJAWALI No. 4,PERDAGANGAN UMUM,3  ORANG,NA
526,CV. NADYA CAKRA,NA,RAJAWALI PLAZA,SECURITY,6  ORANG,NA
527,CV. NADYA CAKRA,NA,JL. ANDIR,LEVALANSIR,8  ORANG,NA
528,CV. NADYA CAKRA,NA,RAJAWALI PLAZA,PERDAGANGAN UMUM,3  ORANG,NA
529,PD. LARIS,NA,JL. PEPETEK No. 23,HASIL BUMI,2  ORANG,NA
530,LEA GROUP,NA,JL. SUDIRMAN No. 344,BENGKEL,5  ORANG,NA
531,CV. LOVIA,NA,JL. KBN. JATI No. 56,REFLEKSI,12  ORANG,NA
532,ASKAR BUSANA,NA,JL. WARINGIN No. 39,PAKAIAN,5  ORANG,NA
533,VIC DENIM,NA,Gg. MINYAK TANAH,KONVEKSI,7  ORANG,NA
534,CV. SAENA MASAL,NA,JL. CIROYOM,PERDAGANGAN / JASA,6  ORANG,NA
535,CV. GUANTARA,NA,Gg. SUKARELA,KONVEKSI,8  ORANG,NA
536,PD. MBFS,NA,Gg. TARUNA IV No. 336,PERDAGANGAN UMUM,5  ORANG,NA
537,PT. GATRA TEKNOLOGI,NA,RAJAWALI PLAZA,PERDAGANGAN,4  ORANG,NA
538,CV. RAKASAWAN,NA,Gg. CIROYOM,TELEKOMUNIKASI,3  ORANG,NA
539,GPKA,NA,JL. ARJUNA,PERDAGANGAN,5  ORANG,NA
540,SUKSES MANDIRI,NA,JL. ANDIR No. 112A,PERDAGANGAN UMUM,3  ORANG,NA
541,ANDIKA,NA,PSR CIROYOM 1 C,PERDAGANGAN UMUM,4  ORANG,NA
542,LEMBAGA HELMY,NA,JL. JEND. Sudirman No. 428,PENDIDIKAN,8  ORANG,NA
543,CV. MALEBER,NA,JL. JEND. Sudirman No. 428,PERDAGANGAN UMUM,3  ORANG,NA
544,CV. MANDIRI,NA,JL. JEND. Sudirman No. 428,PERDAGANGAN UMUM,3  ORANG,NA
545,MEGATAMA,NA,JL. JEND. Sudirman No. 304,JUAL BELI KENDARAAN,5  ORANG,NA
546,LEMBAH HURIP,NA,JL. TERI No. 6,DAGANG SEMBAKO,4  ORANG,NA
547,BUNG JAYA,NA,JL. ANDIR No. 117/78,PERDAGANGAN,3  ORANG,NA
548,YAYASAN SUMBER SEHAT,NA,JL. ANDIR No. 8,PENGANGKATAN,11  ORANG,NA
549,KLINIK KARYA MANDIRI,NA,JL. BUDIMAN RT. 04/02,KLINIK,2  ORANG,NA
550,TOKO FISKAN,NA,JL. ANDIR No. 32/78,ALAT RUMAH TANGGA,2  ORANG,NA
551,TOKO FISKAN,NA,JL. ANDIR SWADAYA,BAHAN BANGUNAN,5  ORANG,NA
552,YCBS,NA,JL. ANDIR,JASA,2  ORANG,NA
553,AQUANE,NA,JL. TAMAN HIJAU No. 2,NA,15  ORANG,NA
554,AQUANE,NA,JL. BUDIMAN RT. 04/02,KELONTONGAN,2  ORANG,NA
555,AQUANE,NA,JL. PEPETEK No. 25,DAGING SAPI,2  ORANG,NA
556,AQUANE,NA,JL. WARINGIN No. 31,JASA,6  ORANG,NA
557,AQUANE,NA,JL. CIROYOM IV,NA,NA,NA
558,KARYA MANDIRI,NA,RAJAWALI PLAZA,NA,4  ORANG,NA
559,PT. RA SEJAHTERA ABADI,NA,JL. Andir  No,199/70 RT 03/10 Kelurahan Ciroyom,Catering dan Perdagangan,3 Orang
560,PD. MAKMUR,NA,Jl. Andir No 14,16 18 RT 10/06 Ciroyom,Perdagangan makanan dan minuman ringan sembako,5 orang
